City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto natales,-51.7236,-72.4875,10.27,82,88,4.5,CL,1707283614
1,khanu woralaksaburi,16.0617,99.8606,34.41,19,0,0.73,TH,1707283614
2,bethel,41.3712,-73.414,0.02,74,0,0.0,US,1707283615
3,henderson,36.0397,-114.9819,9.43,63,100,6.69,US,1707283615
4,kourou,5.1552,-52.6478,26.03,92,18,3.36,GF,1707283615
5,tiksi,71.6872,128.8694,-28.08,99,98,2.97,RU,1707283616
6,albany,42.6001,-73.9662,-2.33,73,26,1.03,US,1707283581
7,blackmans bay,-43.0167,147.3167,20.41,53,22,0.89,AU,1707283616
8,ushuaia,-54.8,-68.3,12.81,54,0,1.54,AR,1707283617
9,chul'man,56.8479,124.9104,-11.11,88,100,3.55,RU,1707283617
10,udachny,66.4167,112.4,-27.53,75,98,1.7,RU,1707283617
11,pagar alam,-4.0167,103.2667,26.81,73,99,1.17,ID,1707283618
12,takanabe,32.1333,131.5,15.94,56,97,2.39,JP,1707283618
13,xiulin,29.7167,112.4,0.49,100,92,2.71,CN,1707283618
14,grytviken,-54.2811,-36.5092,8.65,56,24,2.07,GS,1707283619
15,laminusa,5.5549,120.9136,27.02,72,58,1.0,PH,1707283619
16,fort bragg,35.139,-79.006,3.03,52,0,4.12,US,1707283619
17,isla vista,34.4133,-119.861,12.01,78,0,0.45,US,1707283619
18,kodiak,57.79,-152.4072,1.73,87,100,2.57,US,1707283620
19,broome,42.2506,-75.833,-1.11,83,0,2.57,US,1707283620
20,kalmunai,7.4167,81.8167,27.86,63,57,3.65,LK,1707283620
21,hithadhoo,-0.6,73.0833,28.43,74,43,3.09,MV,1707283621
22,martapura,-3.4167,114.85,28.05,78,40,3.09,ID,1707283622
23,baiao,-2.7906,-49.6717,22.98,99,39,0.85,BR,1707283623
24,west island,-12.1568,96.8225,29.99,66,19,4.12,CC,1707283624
25,port-aux-francais,-49.35,70.2167,7.1,99,100,4.42,TF,1707283624
26,adamstown,-25.066,-130.1015,24.72,88,95,6.9,PN,1707283587
27,saldanha,-33.0117,17.9442,18.03,93,1,3.46,ZA,1707283625
28,anadyr,64.75,177.4833,-19.72,83,20,7.0,RU,1707283626
29,college,64.8569,-147.8028,-16.97,83,75,0.0,US,1707283626
30,olonkinbyen,70.9221,-8.7187,-3.01,91,93,9.19,SJ,1707283626
31,ternate,0.8,127.4,27.96,74,100,4.07,ID,1707283627
32,tofol,5.3248,163.0078,30.88,66,75,6.69,FM,1707283627
33,port alfred,-33.5906,26.891,22.32,80,92,4.02,ZA,1707283628
34,edinburgh of the seven seas,-37.0676,-12.3116,16.64,63,77,1.39,SH,1707283628
35,ribeira grande,38.5167,-28.7,17.1,93,92,7.15,PT,1707283628
36,kruisfontein,-34.0033,24.7314,21.05,76,16,6.65,ZA,1707283629
37,stanley,54.868,-1.6985,-0.67,87,0,2.06,GB,1707283629
38,aasiaat,68.7098,-52.8699,-7.08,82,100,9.44,GL,1707283629
39,ilulissat,69.2167,-51.1,-5.99,73,100,13.89,GL,1707283630
40,hamilton,39.1834,-84.5333,3.76,80,0,1.79,US,1707282931
41,avarua,-21.2078,-159.775,28.03,78,100,5.14,CK,1707283631
42,tolanaro,-25.0319,46.9987,28.04,74,20,2.06,MG,1707283631
43,mahdia,35.5047,11.0622,10.97,47,100,7.0,TN,1707283632
44,isafjordur,66.0755,-23.124,-2.87,90,100,5.94,IS,1707283632
45,waitangi,-43.9535,-176.5597,18.79,90,100,3.58,NZ,1707283633
46,ash shatrah,31.4117,46.1742,13.19,56,1,3.22,IQ,1707283633
47,port elizabeth,-33.918,25.5701,22.28,77,40,8.75,ZA,1707283633
48,suva,-18.1416,178.4415,27.71,69,75,3.09,FJ,1707283634
49,atafu village,-8.5421,-172.5159,28.62,82,95,11.05,TK,1707283634
50,kangaroo flat,-36.8,144.25,25.59,28,0,4.98,AU,1707283634
51,porto novo,6.4965,2.6036,23.9,59,26,0.77,BJ,1707283635
52,popondetta,-8.7537,148.2534,30.63,64,100,2.7,PG,1707283635
53,mallammaduri,12.565,9.9573,16.53,22,83,4.97,NG,1707283636
54,mao,39.8885,4.2658,10.31,100,40,2.06,ES,1707283636
55,poronaysk,49.2167,143.1167,-12.07,81,26,0.3,RU,1707283636
56,nouadhibou,20.931,-17.0347,19.99,34,16,3.6,MR,1707283637
57,nalut,30.3333,10.85,9.23,41,25,2.94,LY,1707283637
58,douglas,41.3,-96.167,8.51,72,0,5.66,US,1707283637
59,saint-philippe,-21.3585,55.7679,28.77,80,94,2.96,RE,1707283638
60,iqaluit,63.7506,-68.5145,-23.15,59,40,6.17,CA,1707283638
61,talnakh,69.4865,88.3972,-14.33,82,100,2.92,RU,1707283638
62,punta arenas,-53.15,-70.9167,12.06,62,75,5.14,CL,1707283639
63,hadibu,12.65,54.0333,25.7,67,26,4.18,YE,1707283639
64,wailua homesteads,22.0669,-159.378,23.24,75,75,8.23,US,1707283639
65,naze,28.3667,129.4833,14.51,79,100,5.2,JP,1707283640
66,mukalla,14.5425,49.1242,23.69,72,23,1.35,YE,1707283640
67,yellowknife,62.456,-114.3525,-17.47,93,100,5.66,CA,1707283640
68,cold lake,54.4502,-110.2017,-10.03,92,100,2.57,CA,1707283540
69,kingston,17.997,-76.7936,23.53,73,20,8.23,JM,1707283527
70,kalabo,-14.97,22.6814,20.06,93,89,1.76,ZM,1707283641
71,kasane,-17.8167,25.15,19.67,87,44,1.71,BW,1707283642
72,ulladulla,-35.35,150.4667,20.14,65,78,4.6,AU,1707283577
73,altus,34.6381,-99.334,11.73,72,100,5.66,US,1707283642
74,vilyuysk,63.7553,121.6247,-24.47,94,97,1.53,RU,1707283643
75,st. john's,47.5649,-52.7093,-0.12,91,100,12.52,CA,1707283643
76,yuzhno-kurilsk,44.0306,145.8556,-5.9,63,38,4.0,RU,1707283643
77,papao,-17.75,-149.55,28.82,88,100,11.95,PF,1707283644
78,walvis bay,-22.9575,14.5053,19.53,88,100,1.03,NA,1707283644
79,sao luis,-2.5297,-44.3028,28.11,89,0,3.09,BR,1707283644
80,salalah,17.0151,54.0924,25.05,33,0,1.03,OM,1707283645
81,el sauzal de rodriguez,31.9,-116.6833,12.45,73,85,3.79,MX,1707283645
82,vadso,70.0744,29.7487,-11.91,85,75,7.2,NO,1707283645
83,margaret river,-33.95,115.0667,26.69,40,0,4.02,AU,1707283646
84,jamestown,42.097,-79.2353,-1.2,90,0,0.45,US,1707283475
85,komatipoort,-25.4332,31.9548,25.58,81,2,1.8,ZA,1707283646
86,sabang,5.8933,95.3214,27.97,76,32,6.8,ID,1707283647
87,luderitz,-26.6481,15.1594,18.36,81,45,5.61,NA,1707283647
88,bubaque,11.2833,-15.8333,26.0,70,0,4.85,GW,1707283647
89,port mathurin,-19.6833,63.4167,26.97,71,41,7.01,MU,1707283648
90,papatowai,-46.5619,169.4708,15.84,60,11,4.0,NZ,1707283648
91,san patricio,28.017,-97.5169,15.92,73,79,3.07,US,1707283648
92,intendente alvear,-35.2338,-63.592,29.55,37,13,4.51,AR,1707283649
93,flying fish cove,-10.4217,105.6791,28.82,69,100,3.09,CX,1707283649
94,kiunga,-6.1219,141.2906,23.56,99,100,1.86,PG,1707283649
95,klyuchi,52.2667,79.1667,-5.11,78,69,7.16,RU,1707283650
96,arraial do cabo,-22.9661,-42.0278,24.91,88,100,1.64,BR,1707283457
97,saint-pierre,-21.3393,55.4781,28.82,58,75,0.0,RE,1707283650
98,novodvinsk,64.4165,40.8122,-25.12,99,69,0.82,RU,1707283651
99,birendranagar,28.6019,81.6339,18.35,26,73,1.7,NP,1707283651
100,hasaki,35.7333,140.8333,9.22,47,71,5.11,JP,1707283651
101,egilsstadir,65.2653,-14.3948,-6.05,93,100,2.57,IS,1707283652
102,zhanibek,49.4167,46.85,-5.36,89,37,7.61,KZ,1707283652
103,rocha,-34.4833,-54.3333,17.8,89,21,3.36,UY,1707283520
104,holualoa,19.6228,-155.9522,22.91,83,40,3.09,US,1707283653
105,san antonio de pale,-1.4014,5.6325,27.82,75,64,2.23,GQ,1707283653
106,bilibino,68.0546,166.4372,-33.68,100,100,0.77,RU,1707283653
107,ponta delgada,37.7333,-25.6667,18.4,88,75,7.2,PT,1707283654
108,pacific grove,36.6177,-121.9166,11.9,79,100,4.63,US,1707283654
109,touros,-5.1989,-35.4608,26.59,82,100,4.46,BR,1707283655
110,amos,48.5669,-78.1162,-1.34,96,100,2.73,CA,1707283655
111,betio village,1.358,172.9211,30.02,78,36,6.92,KI,1707283656
112,ribas do rio pardo,-20.4431,-53.7592,21.66,89,100,1.95,BR,1707283656
113,lakatoro,-16.0999,167.4164,29.23,73,100,4.37,VU,1707283656
114,whakatane,-37.9585,176.9854,24.87,84,2,1.34,NZ,1707283656
115,bay harbor,30.1471,-85.6146,9.47,86,0,0.0,US,1707283657
116,primero de mayo,-32.2552,-58.4228,28.64,57,70,3.87,AR,1707283657
117,thompson,55.7435,-97.8558,-17.91,71,100,3.09,CA,1707283590
118,varna,43.2167,27.9167,11.91,46,100,2.06,BG,1707283658
119,hun,29.1268,15.9477,11.45,39,0,2.19,LY,1707283658
120,berezovo,63.9381,65.0419,-11.43,96,100,3.87,RU,1707283658
121,baruun-urt,46.6806,113.2792,-16.91,87,7,3.8,MN,1707283659
122,dudinka,69.4058,86.1778,-14.07,88,100,2.24,RU,1707283659
123,tvoroyri,61.5556,-6.8111,2.19,69,84,10.1,FO,1707283659
124,vorgashor,67.5833,63.95,-24.92,96,62,2.73,RU,1707283660
125,kone,-21.0595,164.8658,29.2,70,100,3.8,NC,1707283660
126,zayed city,24.3768,54.589,22.22,56,20,5.14,AE,1707283660
127,san andres,12.5847,-81.7006,26.01,69,20,7.72,CO,1707283661
128,qaqortoq,60.7167,-46.0333,-13.51,66,6,4.65,GL,1707283661
129,tondano,1.3038,124.9112,28.05,56,77,1.98,ID,1707283662
130,dwarka,22.2394,68.9678,24.08,60,58,4.74,IN,1707283662
131,taro,-8.3862,115.28,27.0,63,85,2.16,ID,1707283662
132,dunedin,-45.8742,170.5036,16.56,64,97,1.34,NZ,1707283663
133,igrim,63.1906,64.4162,-7.05,96,100,3.0,RU,1707283663
134,harstad,68.799,16.5293,-3.8,94,100,3.58,NO,1707283664
135,bengkulu,-3.8004,102.2655,29.04,68,74,2.77,ID,1707283664
136,nova sintra,14.8667,-24.7167,20.95,73,0,5.55,CV,1707283664
137,geneina,13.45,22.45,14.37,26,16,7.6,SD,1707283665
138,lebu,-37.6167,-73.65,17.25,98,100,2.16,CL,1707283665
139,molina,-35.1167,-71.2833,19.85,73,1,1.54,CL,1707283502
140,hermanus,-34.4187,19.2345,19.89,83,13,5.24,ZA,1707283666
141,ancud,-41.8697,-73.8203,11.94,69,98,3.67,CL,1707283666
142,yazman,29.1212,71.7446,16.54,47,97,5.49,PK,1707283666
143,usogorsk,63.4106,48.6872,-31.6,100,99,1.22,RU,1707283666
144,negara,-8.3151,114.6025,29.26,73,63,0.72,ID,1707283667
145,joshimath,30.5667,79.5667,8.63,21,8,1.67,IN,1707283667
146,sitka,57.0531,-135.33,0.94,86,0,0.0,US,1707283667
147,bredasdorp,-34.5322,20.0403,19.15,70,1,3.83,ZA,1707283668
148,ha'il,27.5219,41.6907,4.01,52,0,1.03,SA,1707283668
149,chinde,26.8418,88.0763,10.17,45,1,2.19,NP,1707283668
150,speightstown,13.25,-59.65,27.34,85,41,7.72,BB,1707283669
151,meadow lakes,61.6247,-149.6011,-2.99,79,0,0.0,US,1707283669
152,nova olimpia,-14.7972,-57.2881,22.92,94,95,1.25,BR,1707283669
153,acarau,-2.8856,-40.12,26.84,84,22,6.0,BR,1707283670
154,saipan,15.1355,145.701,28.39,54,40,6.69,MP,1707283670
155,nasir,15.5894,32.5634,16.24,18,47,6.58,SD,1707283670
156,haiku-pauwela,20.9219,-156.3051,22.25,68,20,6.69,US,1707283671
157,steamboat springs,40.485,-106.8317,1.31,72,0,2.06,US,1707283671
158,vila franca do campo,37.7167,-25.4333,18.23,91,100,8.83,PT,1707283671
159,lianzhou,24.7811,112.3825,5.02,86,95,2.16,CN,1707283530
160,utrik,11.2278,169.8474,26.76,80,92,7.56,MH,1707283672
161,bayganin,48.6947,55.8742,-5.73,91,100,13.89,KZ,1707283672
162,tadine,-21.55,167.8833,25.47,83,100,8.2,NC,1707283672
163,polyarnyy,69.1989,33.4478,-21.8,100,95,3.43,RU,1707283673
164,lucapa,-8.4192,20.7447,17.23,98,83,0.87,AO,1707283673
165,chonchi,-42.6128,-73.8092,12.56,79,39,1.11,CL,1707283673
166,borisoglebskiy,57.2586,39.1508,-26.81,100,100,1.92,RU,1707283674
167,santiago,-33.4569,-70.6483,23.52,50,0,3.09,CL,1707283500
168,severnoye,56.3491,78.3619,-8.34,93,100,3.58,RU,1707283674
169,badagry,6.4167,2.8833,23.39,61,26,0.91,NG,1707283675
170,ulsteinvik,62.3432,5.8487,-2.6,74,99,2.24,NO,1707283675
171,taltal,-25.4,-70.4833,20.77,86,40,1.26,CL,1707283676
172,puerto ayora,-0.7393,-90.3518,25.09,88,79,3.68,EC,1707283676
173,maceio,-9.6658,-35.7353,25.69,100,20,2.06,BR,1707283676
174,anshun,26.25,105.9333,2.32,81,100,3.29,CN,1707283676
175,caraguatatuba,-23.6338,-45.4899,22.17,93,100,1.4,BR,1707283677
176,mount pearl,47.5166,-52.7813,-0.58,92,100,9.26,CA,1707283677
177,masterton,-40.9597,175.6575,19.94,20,12,0.93,NZ,1707283489
178,port lincoln,-34.7333,135.8667,20.43,58,14,6.22,AU,1707283678
179,coquimbo,-29.9533,-71.3436,18.85,94,0,2.57,CL,1707283678
180,motueka,-41.1333,173.0167,25.05,52,7,3.53,NZ,1707283678
181,la peca,-5.6111,-78.435,20.8,84,57,1.31,PE,1707283679
182,hawaiian paradise park,19.5933,-154.9731,21.69,88,100,3.09,US,1707283679
183,longyearbyen,78.2186,15.6401,-9.09,73,40,7.72,SJ,1707283679
184,middelburg,-25.7751,29.4648,19.79,48,0,1.57,ZA,1707283680
185,mount gambier,-37.8333,140.7667,21.23,42,39,5.02,AU,1707283680
186,sandnessjoen,66.0217,12.6316,-4.77,86,75,5.66,NO,1707283680
187,matoury,4.8483,-52.3317,25.98,94,40,2.06,GF,1707283680
188,chilecito,-29.1619,-67.4974,26.11,50,70,0.79,AR,1707283681
189,chadron,42.8294,-102.9999,6.82,78,20,4.12,US,1707283681
190,invercargill,-46.4,168.35,16.68,67,14,5.36,NZ,1707283682
191,enewetak,11.3474,162.3373,26.73,81,99,8.18,MH,1707283682
192,jurm,36.8648,70.8342,1.8,52,100,1.67,AF,1707283682
193,usinsk,65.9939,57.5281,-24.4,100,72,2.24,RU,1707283683
194,susuman,62.7833,148.1667,-29.45,100,98,0.45,RU,1707283683
195,inverloch,-38.6333,145.7167,18.89,60,0,4.34,AU,1707283683
196,carnot,4.9409,15.8665,18.18,37,58,0.73,CF,1707283684
197,tuburan,6.6439,122.2736,31.05,76,88,2.18,PH,1707283685
198,san pedro,14.35,121.0167,31.57,60,75,4.12,PH,1707283685
199,veinticinco de mayo,-35.4323,-60.1727,22.21,87,61,0.89,AR,1707283685
200,tabou,4.423,-7.3528,26.28,81,17,0.33,CI,1707283686
201,colonia,50.9333,6.95,11.36,83,75,6.17,DE,1707283445
202,labrador city,52.9463,-66.9114,-15.46,70,0,2.06,CA,1707283686
203,east london,-33.0153,27.9116,23.52,78,40,5.14,ZA,1707283686
204,galliano,29.4422,-90.2992,11.11,74,0,2.82,US,1707283687
205,arhribs,36.7936,4.3116,10.19,48,1,2.77,DZ,1707283687
206,tarija,-21.5355,-64.7296,16.01,84,90,0.56,BO,1707283687
207,gopalpur,19.2667,84.9167,29.18,55,0,2.06,IN,1707283688
208,guerrero negro,27.9769,-114.0611,15.19,75,14,5.51,MX,1707283688
209,copala,16.65,-98.9833,23.55,84,15,2.02,MX,1707283688
210,pendleton,45.6721,-118.7886,7.22,84,75,2.06,US,1707283689
211,hassi messaoud,31.6804,6.0729,5.92,61,0,0.51,DZ,1707283689
212,port douglas,-16.4833,145.4667,30.1,70,82,3.48,AU,1707283689
213,geraldton,-28.7667,114.6,38.23,10,0,3.6,AU,1707283671
214,vilyuchinsk,52.9306,158.4028,-4.85,86,100,0.48,RU,1707283690
215,benguela,-12.5763,13.4055,25.15,86,100,3.4,AO,1707283691
216,moab,38.5733,-109.5498,9.78,65,90,1.34,US,1707283519
217,namibe,-15.1961,12.1522,25.32,80,100,2.13,AO,1707283691
218,chibuto,-24.6867,33.5306,22.98,74,0,1.21,MZ,1707283691
219,whitehorse,60.7161,-135.0538,-14.95,84,100,2.06,CA,1707283692
220,la sarre,48.8002,-79.1996,-0.44,96,100,2.72,CA,1707283477
221,patrocinio,-18.9439,-46.9925,18.97,98,100,0.97,BR,1707283692
222,i-n-salah,27.1935,2.4607,12.55,27,49,3.28,DZ,1707283693
223,villa emilio carranza,19.9667,-96.6,18.35,75,28,0.94,MX,1707283693
224,brigantine,39.4101,-74.3646,2.22,90,33,6.04,US,1707283693
225,nadym,65.5333,72.5167,-12.68,96,94,4.81,RU,1707283694
226,urzhar,47.093,81.6294,-3.81,75,75,1.13,KZ,1707283694
227,lompoc,34.6391,-120.4579,11.4,84,75,3.6,US,1707283694
228,ji'an,27.1172,114.9793,2.44,95,100,3.59,CN,1707283695
229,el coacoyul,17.6167,-101.4333,24.49,81,51,0.31,MX,1707283695
230,al muwayh,22.4333,41.7583,13.58,24,29,6.14,SA,1707283696
231,slave lake,55.2834,-114.769,-6.01,79,100,4.12,CA,1707283696
232,nuzvid,16.7833,80.85,27.47,48,0,0.49,IN,1707283696
233,el calafate,-50.3408,-72.2768,10.15,73,93,7.66,AR,1707283696
234,new norfolk,-42.7826,147.0587,20.51,27,24,2.15,AU,1707283697
235,georgetown,5.4112,100.3354,31.96,70,20,4.63,MY,1707283697
236,lata,40.1629,-8.3327,11.71,95,89,1.69,PT,1707283697
237,hohhot,40.8106,111.6522,-7.84,53,0,1.0,CN,1707283698
238,ranau,5.9538,116.6641,26.5,78,92,0.6,MY,1707283698
239,ust-nera,64.5667,143.2,-29.46,96,77,0.6,RU,1707283699
240,beihai,21.4833,109.1,13.63,84,100,7.2,CN,1707283699
241,changqing,36.5575,116.7272,4.07,37,3,2.46,CN,1707283699
242,cabo san lucas,22.8909,-109.9124,21.61,77,69,4.16,MX,1707283449
243,lihue,21.9789,-159.3672,23.58,74,75,8.23,US,1707283684
244,loudun,47.0079,0.083,11.13,89,93,7.76,FR,1707283701
245,faya-largeau,17.9257,19.1043,15.78,30,100,9.15,TD,1707283701
246,new plymouth,-39.0667,174.0833,23.78,77,1,5.39,NZ,1707283701
247,richards bay,-28.783,32.0377,23.17,79,30,4.92,ZA,1707283702
248,quang ngai,15.1167,108.8,28.08,72,2,3.45,VN,1707283702
249,tura,25.5198,90.2201,21.65,34,0,2.37,IN,1707283703
250,itoman,26.1247,127.6694,21.43,73,75,2.57,JP,1707283703
251,pariaman,-0.619,100.12,32.03,66,99,2.14,ID,1707283703
252,mount pleasant,32.7941,-79.8626,6.67,61,0,4.12,US,1707283704
253,kill devil hills,36.0307,-75.676,5.55,78,100,9.26,US,1707283704
254,remire-montjoly,4.9167,-52.2667,26.02,94,40,2.06,GF,1707283704
255,portland,45.5234,-122.6762,7.99,94,75,2.06,US,1707283603
256,esquel,-42.9,-71.3167,11.06,76,49,7.15,AR,1707283591
257,san isidro,-12.1167,-77.05,27.23,66,0,5.66,PE,1707283705
258,chui,-33.6971,-53.4616,18.89,86,2,3.32,UY,1707283705
259,ugoofaaru,5.6667,73.0,27.97,72,45,6.81,MV,1707283706
260,ariquemes,-9.9133,-63.0408,25.05,87,100,0.15,BR,1707283706
261,pitkyaranta,61.5734,31.4792,-19.16,98,44,4.12,RU,1707283706
262,nagqu,31.5,92.0,-3.04,9,0,9.3,CN,1707283707
263,yarmouth,41.7057,-70.2286,2.27,87,100,7.6,US,1707283707
264,tralee,52.2704,-9.7026,3.51,86,100,2.29,IE,1707283707
265,santa rosa de cabal,4.8681,-75.6214,18.58,73,75,3.6,CO,1707283707
266,keflavik,64.0049,-22.5624,-1.05,86,75,8.23,IS,1707283708
267,nemuro,43.3236,145.575,-4.48,63,44,1.99,JP,1707283708
268,crane,31.3974,-102.3501,13.25,54,100,11.14,US,1707283708
269,lukhovka,54.1484,45.2573,-21.75,99,36,2.68,RU,1707283709
270,berezniki,59.4152,56.8124,-4.94,89,100,3.44,RU,1707283710
271,khabarovsk,48.4808,135.0928,-13.11,55,0,7.15,RU,1707283710
272,petropavlovsk-kamchatsky,53.0452,158.6483,-5.67,76,75,1.79,RU,1707283711
273,kapa'a,22.0752,-159.319,23.99,74,75,8.23,US,1707283711
